v_min,v_max,r_min,r_max,r_mid,grain,r_squared,n_particles,deviation
30,120,35,50,42.5,1.8782723302657611,0.9998638564892515,3313123,0.014501079114016702
50,150,150,180,165.0,1.8783109097843755,0.9945175464935136,2360502,0.01655536658017284
30,120,168,178,173.0,1.8786625933723486,0.9890517946256092,738194,0.035281862212393614
20,100,170,180,175.0,1.87874185709062,0.9892436461937927,688282,0.039502507487760116
30,100,35,50,42.5,1.876823791119761,0.9997785021473706,3313123,0.0626309307901464
60,140,168,178,173.0,1.87995701864018,0.9760216916835934,738194,0.10420759532375147
30,100,168,178,173.0,1.8806612006733459,0.9846798485876224,738194,0.14170397621650507
40,120,35,50,42.5,1.8750549335837947,0.9998848152926231,3313123,0.15681929798749614
20,120,30,50,40.0,1.8812501044866825,0.9997670602609902,4563814,0.17306200674561315
20,120,170,180,175.0,1.8744546640203616,0.9916694729396458,688282,0.18878253352706298
50,120,35,50,42.5,1.8742720839165428,0.9998195910206461,3313123,0.19850458378365965
20,120,35,50,42.5,1.8828123497507165,0.9998916658055678,3313123,0.2562486555227183
40,150,200,250,225.0,1.8730356115139732,0.9639978349162472,2952052,0.26434443482570025
20,100,35,50,42.5,1.883085746701707,0.9998387865432469,3313123,0.27080653363722784
30,150,42,52,47.0,1.8724710632733388,0.9970233084354545,2074468,0.29440557649952637
20,120,25,30,27.5,1.8837278946935505,0.9979532586375559,1349326,0.3049997174414599
40,150,45,60,52.5,1.8719535444810675,0.9900127017102484,2885688,0.32196248769607816
20,100,100,120,110.0,1.8718095204297232,0.9966954337034578,2227894,0.32963150001473596
40,100,35,50,42.5,1.8713109483593955,0.999800873642073,3313123,0.3561795335785093
40,150,40,60,50.0,1.8708407628284454,0.9935885841586375,3993354,0.3812160368239901
20,120,10,20,15.0,1.8707380063595123,0.9992924801008407,3418988,0.3866876272890112
20,150,40,50,45.0,1.8852787127977697,0.9985358070856951,2130983,0.38757789125504877
40,130,38,48,43.0,1.8856022225563858,0.9998127984154234,2192532,0.40480418298114346
50,120,170,200,185.0,1.8701298512766815,0.9742690609252499,1953528,0.4190707520403818
30,100,25,30,27.5,1.8696217563036017,0.9972802894022975,1349326,0.44612586242801755
30,100,30,50,40.0,1.8692477504223117,0.9998658959279488,4563814,0.46604097857764454
20,120,10,15,12.5,1.8870161104328587,0.9989191422610391,1608899,0.48009107736202183
50,120,100,130,115.0,1.8878529834200222,0.9939822289689019,3224202,0.5246530042610371
30,100,10,20,15.0,1.8886314377060789,0.9995205246850078,3418988,0.5661042442001595
40,130,150,180,165.0,1.8887147056311553,0.9965724636196222,2360502,0.570538106025314
40,100,15,20,17.5,1.8669268808892496,0.9996568009327681,1810089,0.5896229558439969
60,140,110,140,125.0,1.8893044856057502,0.9659278607188653,2947819,0.6019427905085335
20,150,35,55,45.0,1.8896583088424141,0.9976461537534372,4278477,0.6207832184459136
40,120,150,180,165.0,1.866198726372163,0.99628439121038,2360502,0.6283958268283697
30,100,20,25,22.5,1.8660865737125394,0.9981822410696175,1508696,0.6343677469361292
20,120,5,15,10.0,1.8660811656972789,0.9983755963633406,2067671,0.634655713669915
40,130,35,55,45.0,1.8901244508798305,0.9992562366122106,4278477,0.645604413196518
20,120,15,20,17.5,1.8658728369930617,0.9993705833564336,1810089,0.6457488289104456
40,130,35,50,42.5,1.8657854232502524,0.999813633440221,3313123,0.6504034478033793
40,150,100,130,115.0,1.8902568852292534,0.9885826873600773,3224202,0.6526562954874069
30,150,40,55,47.5,1.8905112935585273,0.9959718838695713,3096337,0.6662030648843145
20,100,30,50,40.0,1.8906692567341272,0.999740819973777,4563814,0.6746143095914447
30,100,5,15,10.0,1.8652254358082707,0.9988132080838454,2067671,0.680221735448838
40,120,38,48,43.0,1.8909862415127423,0.9997968161163009,2192532,0.6914931582929933
40,120,140,170,155.0,1.8915675331554094,0.9974936803251131,2454368,0.7224458549206328
20,100,15,20,17.5,1.8917559990921982,0.999653432453448,1810089,0.7324813148135393
40,130,168,178,173.0,1.8919435117346723,0.9868354275783858,738194,0.7424660135608335
50,120,38,48,43.0,1.8921671096734214,0.9996480385157229,2192532,0.7543721870831468
20,120,20,30,25.0,1.863061175626944,0.9984111135176895,2858022,0.7954645566057474
